id,origin_id,destination_id,distance_km,flight_time_hours,popular_aircraft,description,image_url
LON-NYC,LON001,NYC001,5570,7.5,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The London to New York route is one of the most popular transatlantic business routes, connecting two major financial centers. Private jets offer significant time savings with direct flights and quick customs clearance.",
LON-PAR,LON001,PAR001,340,1.0,"Citation CJ4,Phenom 300,Learjet 75","The London to Paris route is a quick hop between two of Europe's most important cities. Private jets offer convenience with flights between city airports like London City and Paris Le Bourget.",
NYC-MIA,NYC001,MIA001,1760,3.0,"Citation XLS+,Gulfstream G150,Hawker 900XP","The New York to Miami route is popular year-round, especially during winter months. Private jets offer direct flights between Teterboro and Opa-locka Executive Airport.",
LON-DXB,LON001,DXB001,5500,7.0,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The London to Dubai route connects Europe with the Middle East. Long-range private jets offer nonstop flights with ultimate comfort for this extended journey.",
PAR-NIC,PAR001,NIC001,690,1.5,"Citation CJ4,Phenom 300,Citation XLS+","The Paris to Nice route is popular for business travelers and vacationers heading to the French Riviera. Private jets offer quick and convenient access to the Côte d'Azur.",
NYC-LAX,NYC001,LAX001,3940,5.5,"Gulfstream G150,Hawker 900XP,Gulfstream G550","The New York to Los Angeles route is one of the most popular transcontinental routes in the US. Private jets offer nonstop flights with significant time savings.",
LON-GVA,LON001,GVA001,750,1.8,"Citation CJ4,Phenom 300,Citation XLS+","The London to Geneva route is popular for business travelers and ski enthusiasts. Private jets offer convenient access to this global financial center and gateway to the Alps.",
SIN-HKG,SIN001,HKG001,2570,3.8,"Citation XLS+,Gulfstream G150,Hawker 900XP","The Singapore to Hong Kong route connects two major Asian financial hubs. Private jets offer flexibility and efficiency for business travelers in the region.",
DXB-MOS,DXB001,MOS001,3700,5.0,"Gulfstream G150,Hawker 900XP,Gulfstream G550","The Dubai to Moscow route connects the Middle East with Eastern Europe. Private jets offer direct flights with premium comfort and privacy.",
SYD-AKL,SYD001,AKL001,2160,3.0,"Citation XLS+,Gulfstream G150,Hawker 900XP","The Sydney to Auckland route is a popular trans-Tasman journey. Private jets offer convenience and flexibility for business travelers between Australia and New Zealand.",
LAX-MIA,LAX001,MIA001,3750,5.3,"Gulfstream G150,Hawker 900XP,Gulfstream G550","The Los Angeles to Miami route connects the US west and east coasts. Private jets offer nonstop flights with premium comfort for this cross-country journey.",
LON-ROM,LON001,ROM001,1440,2.8,"Citation XLS+,Gulfstream G150,Hawker 900XP","The London to Rome route connects the UK with Italy. Private jets offer direct flights to Ciampino Airport with convenient access to the city center.",
PAR-MIL,PAR001,MIL001,640,1.5,"Citation CJ4,Phenom 300,Learjet 75","The Paris to Milan route connects two European fashion capitals. Private jets offer quick and convenient flights between these cultural and business hubs.",
NYC-GVA,NYC001,GVA001,6200,8.0,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The New York to Geneva route is popular for business travelers in finance and diplomacy. Long-range private jets offer nonstop flights with ultimate comfort.",
HKG-TOK,HKG001,TOK001,2900,4.0,"Citation XLS+,Gulfstream G150,Hawker 900XP","The Hong Kong to Tokyo route connects two major Asian business centers. Private jets offer flexibility and efficiency for business travelers in the region.",
LON-ZRH,LON001,ZRH001,800,1.8,"Citation CJ4,Phenom 300,Citation XLS+","The London to Zurich route is popular for business travelers in finance. Private jets offer convenient access to this global banking center.",
MIA-RIO,MIA001,RIO001,6700,8.5,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The Miami to Rio de Janeiro route connects North and South America. Long-range private jets offer nonstop flights with premium comfort for this extended journey.",
DXB-CPT,DXB001,CPT001,7700,9.5,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The Dubai to Cape Town route connects the Middle East with Southern Africa. Ultra-long-range private jets offer nonstop flights with ultimate comfort.",
SIN-SYD,SIN001,SYD001,6300,8.0,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The Singapore to Sydney route is a major connection between Asia and Australia. Long-range private jets offer nonstop flights with premium comfort.",
NYC-LON,NYC001,LON001,5570,6.5,"Gulfstream G550,Falcon 7X,Bombardier Global 6000","The New York to London route benefits from tailwinds when flying eastbound, resulting in shorter flight times compared to the westbound journey. Private jets offer significant time savings with direct flights.",
